Symbol;Name;Country;IPO Year;Sector;Industry
SFET;Safe-T Group Ltd. American Depositary Share;Israel;2018;Technology;Computer Software: Prepackaged Software
SFIX;Stitch Fix Inc. Class A Common Stock;United States;2017;Consumer Services;Catalog/Specialty Distribution
SFL;SFL Corporation Ltd;Bermuda;;Transportation;Marine Transportation
SFM;Sprouts Farmers Market Inc. Common Stock;United States;2013;Consumer Services;Food Chains
SFNC;Simmons First National Corporation Class A Common Stock;United States;;Finance;Major Banks
SFST;Southern First Bancshares Inc. Common Stock;United States;;Finance;Major Banks
SFT;Shift Technologies Inc. Class A Common Stock;United States;2019;Consumer Durables;Automotive Aftermarket
SFTW;Osprey Technology Acquisition Corp. Class A Common Stock;;2019;Finance;Business Services
SFTW.U;Osprey Technology Acquisition Corp. Units each consisting of one share of Class A Common Stock and one-half of one redeemable Warrant;;2019;;
SFTW.WS;Osprey Technology Acquisition Corp. Redeemable Warrants each whole Warrant exercisable for one share of Class A Common Stock;;;;
SFUN;Fang Holdings Limited American Depositary Shares (Each representing Four Class A Ordinary Shares HK$1.00 par value);China;2010;Technology;EDP Services
SG;Sirius International Insurance Group Ltd. Common Share;Bermuda;;Finance;Property-Casualty Insurers
SGA;Saga Communications Inc. Class A Common Stock (FL);United States;;Consumer Services;Broadcasting
SGAM;Seaport Global Acquisition Corp. Class A Common Stock;United States;2020;Finance;Business Services
SGAMU;Seaport Global Acquisition Corp. Unit;United States;2020;Finance;Business Services
SGAMW;Seaport Global Acquisition Corp. Warrant;United States;2020;Finance;Business Services
SGBX;SG Blocks Inc. Common Stock;United States;2017;Consumer Services;RETAIL: Building Materials
SGC;Superior Group of Companies Inc. Common Stock;United States;;Consumer Non-Durables;Apparel
SGEN;Seagen Inc. Common Stock;United States;2001;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
SGH;SMART Global Holdings Inc. Ordinary Shares;United States;2017;Technology;Semiconductors
SGLB;Sigma Labs Inc. Common Stock;United States;;Consumer Durables;Miscellaneous manufacturing industries
SGLBW;Sigma Labs Inc. Warrant;United States;;Consumer Durables;Miscellaneous manufacturing industries
SGMA;SigmaTron International Inc. Common Stock;United States;1994;Technology;Electrical Products
SGMO;Sangamo Therapeutics Inc. Common Stock;United States;2000;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
SGMS;Scientific Games Corp Common Stock;United States;;Technology;EDP Services
SGOC;SGOCO Group Ltd Ordinary Shares (Cayman Islands);China;2010;Technology;Radio And Television Broadcasting And Communications Equipment
SGRP;SPAR Group Inc. Common Stock;United States;;Miscellaneous;Business Services
SGRY;Surgery Partners Inc. Common Stock;United States;2015;Health Care;Hospital/Nursing Management
